elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
1,1657430100,1657447560,17460,2211,6,35,2022,7,9,22,15,0,7.0,2022,7,10,6,6,0,4.0,13748
1,1657457400,1657467420,10020,952,3,46,2022,7,10,8,50,0,4.0,2022,7,10,11,37,0,4.0,13749
0,1657453080,1657462200,9120,903,2,32,2022,7,10,5,38,0,6.0,2022,7,10,9,10,0,5.0,13750
0,1657498500,1657505880,7380,485,2,3,2022,7,10,20,15,0,4.0,2022,7,10,22,18,0,4.0,13751
0,1657492200,1657499220,7020,672,1,57,2022,7,10,17,30,0,5.0,2022,7,10,20,27,0,4.0,13752
0,1657559040,1657564320,5280,185,2,44,2022,7,11,13,4,0,4.0,2022,7,11,14,32,0,4.0,13753
1,1657599600,1657609500,9900,954,2,45,2022,7,11,22,20,0,6.0,2022,7,12,0,5,0,7.0,13754
0,1657572120,1657578600,6480,545,4,19,2022,7,11,16,42,0,4.0,2022,7,11,18,30,0,4.0,13755
0,1657577700,1657584540,6840,600,1,54,2022,7,11,17,15,0,5.0,2022,7,11,20,9,0,4.0,13756
0,1657650840,1657654920,4080,257,2,41,2022,7,12,14,34,0,4.0,2022,7,12,15,42,0,4.0,13757
0,1657647780,1657665300,17520,2135,7,28,2022,7,12,10,43,0,7.0,2022,7,12,18,35,0,4.0,13758
0,1657630800,1657635720,4920,364,2,6,2022,7,12,6,0,0,7.0,2022,7,12,7,22,0,7.0,13759
0,1657762200,1657767240,5040,185,2,5,2022,7,13,21,30,0,4.0,2022,7,13,22,54,0,4.0,13760
0,1657735500,1657742100,6600,485,5,23,2022,7,13,14,5,0,4.0,2022,7,13,15,55,0,4.0,13761
0,1657737000,1657746060,9060,903,2,31,2022,7,13,13,30,0,5.0,2022,7,13,15,1,0,6.0,13762
0,1657802400,1657812480,10080,1142,6,40,2022,7,14,6,40,0,6.0,2022,7,14,11,28,0,4.0,13763
0,1657836300,1657843440,7140,622,4,43,2022,7,14,18,5,0,4.0,2022,7,14,20,4,0,4.0,13764
0,1657821480,1657834800,13320,1380,3,42,2022,7,14,13,58,0,4.0,2022,7,14,16,40,0,5.0,13765
1,1657922820,1657929540,6720,545,2,15,2022,7,15,18,7,0,4.0,2022,7,15,19,59,0,4.0,13766
0,1657926780,1657935600,8820,848,4,23,2022,7,15,16,13,0,7.0,2022,7,15,19,40,0,6.0,13767
0,1657921500,1657927440,5940,339,1,39,2022,7,15,14,45,0,7.0,2022,7,15,16,24,0,7.0,13768
0,1658004480,1658015040,10560,1207,2,56,2022,7,16,14,48,0,6.0,2022,7,16,19,44,0,4.0,13769
0,1658003100,1658014800,11700,1104,3,15,2022,7,16,16,25,0,4.0,2022,7,16,19,40,0,4.0,13770
0,1658014200,1658023140,8940,799,3,40,2022,7,16,18,30,0,5.0,2022,7,16,20,59,0,5.0,13771
