Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Douglas Municipal Airport,Douglas,United States,\N,KDQH,31.47669982910156,-82.8604965209961,257,-5.0,A,America/New_York,airport,6054
St Lucie County International Airport,Fort Pierce,United States,FPR,KFPR,27.49510002,-80.36830139,24,-5.0,A,America/New_York,airport,6055
Taunton Municipal King Field,Taunton,United States,\N,KTAN,41.8744010925293,-71.0166015625,43,-5.0,A,America/New_York,airport,6056
Plymouth Municipal Airport,Plymouth,United States,PYM,KPYM,41.909,-70.728798,148,-5.0,A,America/New_York,airport,6057
Quonset State Airport,North Kingstown,United States,NCO,KOQU,41.597099304199,-71.412101745605,18,-5.0,A,America/New_York,airport,6058
Norwood Memorial Airport,Norwood,United States,OWD,KOWD,42.1904983521,-71.1728973389,49,-5.0,A,America/New_York,airport,6059
Westfield-Barnes Regional Airport,Westfield,United States,BAF,KBAF,42.157799,-72.715599,271,-5.0,A,America/New_York,airport,6060
Windham Airport,Willimantic,United States,\N,KIJD,41.74399948120117,-72.1802978515625,247,-5.0,A,America/New_York,airport,6061
Orange County Airport,Montgomery,United States,MGJ,KMGJ,41.50999832,-74.26460266,364,-5.0,A,America/New_York,airport,6062
Capital City Airport,Harrisburg,United States,HAR,KCXY,40.2170982361,-76.85150146480001,347,-5.0,A,America/New_York,airport,6063
Marshfield Municipal George Harlow Field,Marshfield,United States,\N,KGHG,42.09830093383789,-70.67220306396484,11,-5.0,A,America/New_York,airport,6064
Danbury Municipal Airport,Danbury,United States,DXR,KDXR,41.3714981079,-73.48220062259999,458,-5.0,A,America/New_York,airport,6065
Boire Field,Nashua,United States,ASH,KASH,42.7817001343,-71.51480102539998,199,-5.0,A,America/New_York,airport,6066
Lawrence Municipal Airport,Lawrence,United States,LWM,KLWM,42.7172012329,-71.1233978271,148,-5.0,A,America/New_York,airport,6067
Waterbury Oxford Airport,Oxford,United States,OXC,KOXC,41.47859954834,-73.13520050048801,726,-5.0,A,America/New_York,airport,6068
Fitchburg Municipal Airport,Fitchburg,United States,\N,KFIT,42.55410003662109,-71.75900268554688,348,-5.0,A,America/New_York,airport,6069
Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,United States,\N,20GA,33.7565002441,-84.88469696039998,1110,-5.0,A,America/New_York,airport,6070
Cartersville Airport,Cartersville,United States,\N,KVPC,34.12310028076172,-84.84870147705078,759,-5.0,A,America/New_York,airport,6071
